dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
naive,FunctionAnalytic,prep,crt2_plus_core4,crt2_plus_core4_total,-0.01171523566143701,0.014687186277448817,-0.040502120765236696,0.017071649442362672,0.4250735665098343,binomial_cluster,103,-0.7976501039838355,0.5544154797804564,False
naive,FunctionAnalytic,i,crt2_total,crt2_total,-0.04266425753227855,0.03477138569768704,-0.11081617349974515,0.02548765843518805,0.21982510645029318,binomial_cluster,103,-1.226993307175461,0.38469393628801307,False
naive,FunctionAnalytic,i,bcrt_core3,bcrt_core3_total,-0.027725015349652157,0.03553893671600243,-0.09738133131301692,0.0419313006137126,0.4353139515316854,binomial_cluster,103,-0.7801306935884823,0.6809835799342865,False
naive,FunctionAnalytic,i,bcrt_core4,bcrt_core4_total,-0.025399287845383724,0.028974948976290472,-0.08219018783891305,0.031391612148145606,0.3807067975739775,binomial_cluster,103,-0.8765947393442305,0.6662368957544607,False
naive,FunctionAnalytic,i,crt2_plus_core3,crt2_plus_core3_total,-0.02411978499056619,0.020365971808143982,-0.0640370897345284,0.015797519753396015,0.23628724518274402,binomial_cluster,103,-1.1843179013397793,0.41350267906980204,False
naive,FunctionAnalytic,i,crt2_plus_core4,crt2_plus_core4_total,-0.02213327010644447,0.017866727992686737,-0.05715205697211048,0.012885516759221536,0.21542024835798035,binomial_cluster,103,-1.238798179247153,0.4765861970140951,False
naive,FunctionAnalytic,ipron,crt2_total,crt2_total,0.06615755952555175,0.04746407329106263,-0.026872024124931004,0.1591871431760345,0.1633644267931056,binomial_cluster,103,1.3938449639552755,0.3811836625172464,False
naive,FunctionAnalytic,ipron,bcrt_core3,bcrt_core3_total,0.043110479932010275,0.05370790048650127,-0.062157005021532215,0.14837796488555277,0.4221573219566338,binomial_cluster,103,0.8026841403499936,0.6809835799342865,False
naive,FunctionAnalytic,ipron,bcrt_core4,bcrt_core4_total,0.023554107397682433,0.04498881049103942,-0.06462396116475483,0.1117321759601197,0.6005882308300732,binomial_cluster,103,0.5235547937497433,0.6874561593788979,False
naive,FunctionAnalytic,ipron,crt2_plus_core3,crt2_plus_core3_total,0.03715693191408069,0.029279630957856097,-0.020231144763317263,0.09454500859147864,0.2044279059159777,binomial_cluster,103,1.2690368935169591,0.41350267906980204,False
